Year,Title,Role
1972,Greaser's Palace,Small Boy in Covered Wagon
1975,Two Tons of Turquoise to Taos Tonight,Himself
1980,Up the Academy,Boy on Soccer Team
1983,Baby It's You,Stewart
1984,Firstborn,Lee
1985,Tuff Turf,Jimmy Parker
1985,Girls Just Want to Have Fun,Punk Party Crasher
1985,Weird Science,Ian
1985,Deadwait,None
1986,Back to School,Derek Lutz
1987,The Pick-up Artist,Jack Jericho
1987,Less than Zero,Julian Wells
1988,Johnny Be Good,Leo Wiggins
1988,Rented Lips,Wolf Dangler
1988,1969,Ralph Karr
1988,That's Adequate,Albert Einstein
1989,True Believer,Roger Baron
1989,Chances Are,Alex Finch / Louie Jefferies
1990,Air America,Billy Covington
1991,Too Much Sun,Reed Richmond
1991,Soapdish,David Seton Barnes
1992,Chaplin,Charlie Chaplin
1993,Heart and Souls,Thomas Reilly
1993,The Last Party,Himself
1993,Short Cuts,Bill Bush
1994,Hail Caesar,Jerry
1994,Natural Born Killers,Wayne Gale
1994,Only You,Peter Wright
1995,Richard III,Earl Rivers
1995,Home for the Holidays,Tommy Larson
1995,Restoration,Robert Merivel
1996,Danger Zone,Jim Scott
1997,One Night Stand,Charlie
1997,Two Girls and a Guy,Blake Allen
1997,Hugo Pool,Franz Mazur
1998,The Gingerbread Man,Clyde Pell
1998,U.S. Marshals,Special Agent John Royce
1999,In Dreams,Vivian Thompson
1999,Friends & Lovers,Hans
1999,Bowfinger,Jerry Renfro
1999,Black and White,Terry Donager
2000,Wonder Boys,Terry Crabtree
2002,Lethargy,Animal therapist
2003,Whatever We Do,Bobby
2003,The Singing Detective,Dan Dark
2003,Charlie: The Life and Art of Charles Chaplin,Himself
2003,Gothika,Pete Graham
2004,Eros,Nick Penrose
2005,Game 6,Steven Schwimmer
2005,Kiss Kiss Bang Bang,Harry Lockhart
2005,The Outsider,Himself
2005,Good Night, and Good Luck,Joseph Wershba
2005,Hubert Selby Jr.: It/ll Be Better Tomorrow,Narrator
2006,A Guide to Recognizing Your Saints,Dito Montiel
2006,The Shaggy Dog,Dr. Kozak
2006,A Scanner Darkly,James Barris
2006,Fur,Lionel Sweeney
2007,Zodiac,Paul Avery
2007,Lucky You,Telephone Jack
2007,Charlie Bartlett,Principal Nathan Gardner
2008,Iron Man,Tony Stark / Iron Man
2008,The Incredible Hulk,Tony Stark / Iron Man
2008,Tropic Thunder,Kirk Lazarus
2009,The Soloist,Steve Lopez
2009,Sherlock Holmes,Sherlock Holmes
2010,Iron Man 2,Tony Stark / Iron Man
2010,Love & Distrust,Rob
2010,Due Date,Peter Highman
2011,Sherlock Holmes: A Game of Shadows,Sherlock Holmes
2012,The Avengers,Tony Stark / Iron Man
2013,Iron Man 3,Tony Stark / Iron Man
2014,The Judge,Hank Palmer
2014,Chef,Marvin
2015,Avengers: Age of Ultron,Tony Stark / Iron Man
2016,Captain America: Civil War,Tony Stark / Iron Man
2016,The Nice Guys,Sid Shattuck
2017,Spider-Man: Homecoming,Tony Stark / Iron Man
2018,Avengers: Infinity War,Tony Stark / Iron Man
2019,Avengers: Endgame,Tony Stark / Iron Man
2020,Dolittle,Dr. John Dolittle
2022,"Sr.",Himself
2023,Oppenheimer †,Lewis Strauss
