ID,Title,Price,Miles,Location,Market Price
1,2020 Ford F-150 Lariat SuperCrew 4WD,$46692,37103 mi,Milwaukee; WI,$627 below market
2,2020 Ford Explorer ST AWD,$39957,54770 mi,Milwaukee; WI,$395 below market
3,2021 Chevrolet Traverse LT Leather AWD,$30998,61866 mi,Waukesha; WI,$1549 below market
4,2020 Ford F-150 Lariat SuperCrew 4WD,$33955,72973 mi,Milwaukee; WI,$7141 below market
5,2012 Toyota RAV4 Base,$7999,125247 mi,Zion; IL,$3840 below market
6,2007 Ford F-250 Super Duty Lariat Crew Cab 4WD,$11999,142287 mi,Zion; IL,$6291 below market
7,2021 Jeep Wrangler Unlimited Rubicon 392 4WD,$65305,10945 mi,Plymouth; WI,$11400 below market
8,2022 Jeep Compass Latitude FWD,$23105,9168 mi,Plymouth; WI,$4786 below market
9,2013 Ford Escape SE AWD,$6999,111077 mi,Milwaukee; WI,$3643 below market
10,2015 Chrysler Town & Country Touring-L FWD,$10995,99926 mi,Fox Lake; IL,$3860 below market
11,2017 RAM 1500 Big Horn Crew Cab 4WD,$19995,128055 mi,Mchenry; IL,$4387 below market
12,2019 Ford F-150 XLT SuperCrew LB 4WD,$32994,35626 mi,Sheboygan; WI,$6179 below market
13,2021 BMW X5 M AWD,$84858,11135 mi,Milwaukee; WI,$8218 below market
14,2013 Honda Odyssey EX-L FWD,$7998,169189 mi,Milwaukee; WI,$3345 below market
15,2020 Ford Explorer Platinum AWD,$35458,45472 mi,Oconomowoc; WI,$5394 below market
16,2023 Cadillac XT6 Premium Luxury AWD,$51000,2326 mi,Plymouth; WI,$6480 below market
17,2017 Ford F-150 XLT 4WD,$15935,157369 mi,Milwaukee; WI,$4676 below market
18,2020 Honda CR-V EX-L AWD,$27424,25954 mi,Milwaukee; WI,$3309 below market
19,2019 Honda Accord 2.0T Sport FWD,$19500,144738 mi,West Bend; WI,$682 below market
20,2022 Chevrolet Silverado 2500HD High Country Crew Cab 4WD,$71714,9163 mi,Racine; WI,$2277 below market
21,2020 Subaru Ascent Limited 7-Passenger AWD,$25963,104954 mi,Milwaukee; WI,$1129 below market
22,2021 Ford F-150 Lariat SuperCrew 4WD,$45959,49046 mi,Milwaukee; WI,$681 below market
23,2020 Buick Encore GX Essence AWD,$21899,53377 mi,Gurnee; IL,$3359 below market
24,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,Saukville; WI,$4262 below market
25,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,Saukville; WI,$3749 below market
26,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,Milwaukee; WI,$3214 below market
27,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,Cedarburg; WI,$2893 below market
28,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,Cedarburg; WI,$2597 below market
29,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,Cedarburg; WI,$2435 below market
30,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,Cedarburg; WI,$3193 below market
31,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,Gurnee; IL,$1625 below market
32,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,Milwaukee; WI,$3955 below market
33,2023 Porsche Macan T AWD,$61382,2301 mi,Milwaukee; WI,$5636 below market
34,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,Gurnee; IL,$2558 below market
35,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,Gurnee; IL,$3087 below market
36,2016 Nissan Rogue S FWD,$10990,101100 mi,Gurnee; IL,$2296 below market
37,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,Plymouth; WI,$5430 below market
38,2021 Ford Expedition MAX King Ranch 4WD,$61999,46485 mi,Brookfield; WI,$698 below market
39,2020 GMC Sierra 1500 Denali Crew Cab 4WD,$51888,45634 mi,Waukesha; WI,$503 above market
40,2016 Ford Transit Cargo 250 3dr SWB Low Roof with 60/40 Side Passenger Doors,$23995,108568 mi,Mukwonago; WI,$817 below market
41,2021 Ford F-150 XLT SuperCrew 4WD,$44999,49726 mi,Sheboygan; WI,$1436 above market
42,2004 Cadillac XLR RWD,$20999,49495 mi,Brown Deer; WI,$3609 below market
