ID,Title,Price,Location
1,WANTED  -  classic  dune buggy  kit car  custom or ?,$123,west bend
2,44x26’ 100% QUALITY STEEL GARAGE CAR STORAGE METAL BUILDING BARN SHOP,$18980,unknown
3,2018 equinox awd,$11900,Milwaukee
4,2001 dodge ram,$3300,Milwaukee
5,1984 Mazda RX-7 GSL,$7000,unknown
6,Chrysler 200 LIMITED,$6500,Milwaukee eastside
7,2014 Jaguar XJL Portfolio Supercharged AWD,$19999,Milwaukee
8,2016 Chevy Express 4500 Shuttle/Party/Limo/Church Bus,$13950,Kansas City
9,2005 Chevy Malibu maxx,$2850,Milwaukee
10,Car bike rack,$40,Oak Creek
11,Toyota 4Runner excellent condition,$6500,Waukesha
12,2014 Ford Transit Connect Cargo,$13995,Mundelein IL
13,2003 GMC Sierra 2500 HD,$5800,unknown
14,2008 Chevy equinox with 109k miles,$6500,Milwaukee
15,Diono Radian rXT Car Seat,$30,unknown
16,*** 2014 Ram Promaster 2500 159” High Roof Carfax Impeccable Service,$12990,Wauwatosa
17,Volkswagen Rabbit 2.5l,$3000,Milwaukee
18,2007 SUBARU FORESTER AWD L.L.BEAN EDITION AWD,$6995,MuskegoWI
19,2013 FORD F150,$16995,1214 south 6th st
20,2013 JEEP GRAND CHEROKEE,$15995,1214 south 6th st
21,international pro star,$60000,Brookfield
22,2007 Hyundai Santa Fe,$3900,Milwaukee
23,2014 Chevy Silverado LTZ,$21250,Oak Creek
24,2017 Toyota Camry LE Sedan 4D,$18995,unknown
25,2017 Nissan Altima 2.5 SV (2017.5) Sedan 4D,$13995,unknown
26,2017 Ford Focus SE Sedan 4D,$12995,unknown
27,2015 Chevrolet Equinox LT Sport Utility 4D,$14995,unknown
28,2020 Chevrolet Trax LS Sport Utility 4D,$15995,unknown
29,2018 Land Rover Range Rover Sport HSE Dynamic Sport Utility 4D,$42995,unknown
30,2018 Chevrolet Equinox LT Sport Utility 4D,$17995,unknown
31,*** 2006 Kia Sedona LX 7 Passenger. Carfax Certified! Only 129K Miles!,$7490,Wauwatosa
32,Ford fusion,$4450,Milwaukee
33,2005 HONDA ODYSSEY EX-L W/DVD 1OWNER LEATHER SUNROOF ALLOY 115864,$900,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
34,2016 Lincoln MKZ AWD*Nav*Back up cam*Push button start*Sunroof*,$13999,Car King in West Allis*10124 W. Greenfield Avenue
35,2013 Honda Civic*Back up camera*Keyless*Sunroof*,$6999,Car King in West Allis*10124 W. Greenfield Avenue
36,2007 Audi A4*84000 miles*Heated leather*Sunroof*Keyless*,$8999,Car King in West Allis*10124 W. Greenfield Avenue
37,2020 Ford F550 XL - Flatbed Utility Chassis Work Truck - 4WD 6.7L V8,$0,Medium Duty Trucks & Upfitting
38,2012 Kia Sedona*132000 miles*Back up camera*Keyless*,$6999,Car King in West Allis*10124 W. Greenfield Avenue
39,2014 NISSAN ROGUE S AWD GAS SAVER ALLOY GOOD TIRES CD 755284,$4900,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
40,2014 Ram 1500 Crew Cab Laramie 5.7L Hemi,$15900,Crystal Lake
