ID,Title,Price,Miles
b1,2015 Ford Mustang GT Premium,28620,43017
b2,2020 Ford Escape SE,23598,17509
b3,2021 Mercedes-Benz A 35 AMG 4MATIC,44464,17962
b4,2021 Ford Mustang Mach-E Premium,37885,8040
b5,2019 Toyota RAV4 LE,28617,33746
b6,2019 GMC Acadia SLE,24894,37421
b7,2023 Hyundai Santa Cruz SEL,31967,5976
b8,2020 Acura ILX,25488,18958
b9,2020 Honda Accord EX-L,28755,25883
b10,2015 Porsche Macan Turbo,35900,72573
b11,2019 Toyota Corolla XSE,20995,35799
b12,2019 Subaru Impreza 2.0i Premium,21995,26931
b13,2018 Volkswagen Passat 2.0T SE,20994,42212
b14,2020 Ford EcoSport Titanium,22998,12862
b15,2017 Ford Transit 150 130" Low Roof,28942,80179
b16,2020 Lincoln MKZ Reserve,34994,22363
b17,2022 Ford Bronco Sport Badlands,35701,4283
b18,2021 Alfa Romeo Stelvio Ti Sport,39999,10359
b19,2022 Volkswagen ID.4 Pro S,41727,8705
b20,2020 Ford F150 Lariat,43975,44026
b21,2020 Chevrolet Silverado 1500 RST,44998,24695
b22,2019 Lincoln Navigator Reserve,56568,35233
b23,2022 Ford Bronco Badlands,63460,3102
b24,2021 Ford Expedition Max King Ranch,68438,14579
b25,2019 Ford F350 King Ranch,72434,21892
b26,2017 Subaru Forester 2.5i Touring,24098,52887
b27,2021 Volvo XC90 T6 Inscription,51799,19526
b28,2020 Land Rover Defender 110,69994,17103
b29,2019 MAZDA CX-5 Touring,23671,34572
b30,2020 MAZDA CX-5 Sport,24006,28291
b31,2020 MAZDA CX-5 Sport,24146,25798
b32,2021 MAZDA CX-30 FWD 2.5 S,23387,19077
b33,2019 Cadillac XT5 Luxury,31690,39334
b34,2021 Cadillac XT4 Premium Luxury,36890,17669
b35,2020 Cadillac XT6 Sport,44790,22535
b36,2020 Acura TLX SH-AWD,31400,17908
b37,2020 Lexus NX 300 AWD,37800,14725
b38,2022 Lexus ES 350,41000,9823
b39,2019 Lexus GX 460,41000,38001
b40,2022 Kia EV6 Wind,41500,3233
b41,2020 Toyota RAV4 XLE,32194,24477
b42,2020 Jeep Grand Cherokee Limited,34210,17795
b43,2019 Toyota Sequoia Platinum,51348,52550
b44,2014 Toyota FJ Cruiser 4WD,35500,70325
b45,2020 Ford Fusion SE,22692,19498
b46,2022 Kia Forte GT,23994,6496
b47,2020 Ford Escape Titanium,29388,10048
b48,2019 Toyota RAV4 Limited,33964,38573
b49,2019 Ford Ranger XLT,34998,34517
b50,2018 Kia Stinger GT2,35473,30943
b51,2020 Acura TLX V6 SH-AWD,36284,10543
b52,2019 Ford Explorer Platinum,36393,37549
b53,2019 Acura RDX AWD,37888,29188
b54,2020 Acura TLX,26285,16342
b55,2021 Honda Passport Elite,37585,13332
b56,2021 BMW X3 xDrive30e,41965,15637
b57,2017 Toyota Prius Two,23372,28461
b58,2020 Honda Accord EX,25799,29963
b59,2020 Subaru Legacy Limited XT,30550,26964
b60,2014 Mercedes-Benz S 550 Sedan,36443,60347
b61,2018 Buick Regal Preferred,19913,33315
b62,2020 Buick Encore GX Select,23734,12652
b63,2023 Nissan Frontier PRO-4X,42751,270
b64,2017 RAM 1500 Limited,33994,50338
b65,2020 Ford Fusion SE,23370,14346
b66,2017 GMC Sierra 2500 Denali,53516,52721
b67,2020 Acura TLX,27988,27616
b68,2021 Honda Accord Sport Special Edition,29388,18951
b69,2016 Toyota Tacoma TRD Off-Road,33900,69912
b70,2020 Acura RDX AWD,39955,31304
b71,2020 Acura RDX AWD,40900,32096
b72,2020 Audi e-tron Prestige,50990,20699
b73,2021 Audi e-tron Premium Plus,53990,12548
b74,2020 Audi A8 L 4.0T,67990,4026
b75,2020 Jeep Renegade Sport,20500,21290
b76,2021 Subaru Crosstrek 2.5i Limited,28995,20268
b77,2021 Honda CR-V EX-L,31995,13005
b78,2023 Toyota Sienna Platinum,59995,10464
b79,2018 Ford Mustang Premium,23474,57329
b80,2020 Ford Fusion SE,23526,24180
b81,2014 Lexus IS 350 AWD,23913,82723
b82,2020 Ford Edge SE,26994,11005
b83,2022 Honda Accord Sport Special Edition,29960,12494
b84,2020 GMC Terrain SLT,29999,26777
b85,2020 Ford Escape Titanium,31617,10771
