ID,Title,Price,Miles,Location,Market Price
a1,2019 BMW X5 xDrive40i AWD,40977,51852,"Milwaukee, WI",$1619 below market
a2,2020 Jeep Gladiator Rubicon Crew Cab 4WD,45989,34678,"Johnson Creek, WI",$227 below market
a3,2020 Chrysler Pacifica Touring L FWD,22590,74716,"Waukesha, WI",$1818 below market
a4,2016 Ford F-150 XLT SuperCrew 4WD,23999,91455,"Random Lake, WI",$2500 below market
a5,2022 Chevrolet Equinox LT FWD with 1LT,25500,11885,"Waukesha, WI",$1720 below market
a6,2022 Ford F-150 XLT SuperCrew 4WD,44995,23202,"Plymouth, WI",$4813 below market
a7,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652,"Plymouth, WI",$3773 below market
a8,2017 Jeep Wrangler Unlimited Sport 4WD,28264,29282,"Greenfield, WI",$2328 below market
a9,2007 Chevrolet Silverado 1500 1LT Extended Cab 4WD,4500,201000,"Jackson, WI",$2231 below market
a10,2021 Jeep Grand Cherokee L Summit Reserve 4WD,47999,32695,"West Allis, WI",$3854 below market
a11,2020 Ford Ranger XL SuperCab 4WD,19580,133189,"Watertown, WI",$2291 below market
a12,2020 Chevrolet Equinox 2.0T LT AWD,21895,40548,"Milwaukee, WI",$2144 below market
a13,2018 Chevrolet Camaro 1LT Coupe RWD,23395,47519,"Milwaukee, WI",$2160 below market
a14,2022 Ford Bronco Outer Banks Advanced 4-Door 4WD,56900,14446,"West Bend, WI",$5246 below market
a15,2020 Ford F-150 XLT SuperCrew 4WD,29789,67136,"Gurnee, IL",$4872 below market
a16,2018 Ford Escape SEL AWD,16899,63169,"Gurnee, IL",$2596 below market
a17,2022 GMC Terrain SLE AWD,27000,7826,"Plymouth, WI",$3568 below market
a18,2022 GMC Terrain SLE AWD,27000,19214,"Plymouth, WI",$2606 below market
a19,2019 Toyota Prius L Eco FWD,23726,40300,"Fox Lake, IL",$1075 below market
a20,2019 Lexus ES Hybrid 300h FWD,38000,26176,"Brookfield, WI",$1425 below market
a21,2021 Jeep Grand Cherokee Summit 4WD,46995,15097,"Milwaukee, WI",$2796 below market
a22,2019 Kia Rio S FWD,11400,90785,"Gurnee, IL",$2032 below market
a23,2021 Jeep Grand Cherokee Laredo X RWD,27507,35173,"Gurnee, IL",$5382 below market
a24,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350,"Saukville, WI",$2487 below market
a25,2021 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,45993,22359,"Cedarburg, WI",$2748 below market
a26,2022 Chevrolet Express Chassis 3500 Cutaway 177,49900,7621,"Cedarburg, WI",$4248 below market
a27,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,50744,12165,"Cedarburg, WI",$3037 below market
a28,2021 Volkswagen Tiguan SE 4Motion,26713,22075,"Milwaukee, WI",$2034 below market
a29,2021 Volkswagen Atlas V6 SE R-Line 4Motion with Technology,35288,42879,"Milwaukee, WI",$1715 below market
a30,2022 Volkswagen ID.4 Pro S RWD,34955,3794,"Milwaukee, WI",$2871 below market
a31,2023 Volkswagen Golf R 2.0T 4Motion AWD,50725,1916,"Milwaukee, WI",$3623 below market
a32,2020 Porsche Taycan Turbo AWD,93988,32700,"Milwaukee, WI",$8725 below market
a33,2020 Kia Optima SE FWD,19999,30085,"Waukegan, IL",$2662 below market
a34,2022 Toyota Camry Hybrid LE FWD,29999,27055,"Waukegan, IL",$1926 below market
a35,2021 Cadillac XT4 Sport AWD,34999,17477,"Saukville, WI",$3290 below market
a36,2021 Honda Accord Hybrid Touring FWD,30500,24401,"Gurnee, IL",$3262 below market
a37,2016 Nissan Rogue S FWD,9990,101100,"Gurnee, IL",$3097 below market
a38,2021 Ford Explorer Limited AWD,34985,41540,"Watertown, WI",$2237 below market
a39,2018 Toyota Tundra 1794 Edition CrewMax 5.7L 4WD,39995,59789,"Milwaukee, WI",$1858 below market
a40,2022 Chrysler Pacifica Touring L FWD,28997,47928,"Waukesha, WI",$4199 below market
a41,2020 Ford Expedition Limited 4WD,45990,58135,"Milwaukee, WI",$406 below market
a42,2016 Ford F-150 XLT SuperCrew 4WD,23999,91455,"Random Lake, WI",$2500 below market
a43,2022 Chevrolet Equinox LT FWD with 1LT,25500,11885,"Waukesha, WI",$1720 below market
a44,2022 Ford F-150 XLT SuperCrew 4WD,44995,23202,"Plymouth, WI",$4813 below market
a45,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652,"Plymouth, WI",$3773 below market
a46,2017 Jeep Wrangler Unlimited Sport 4WD,28264,29282,"Greenfield, WI",$2328 below market
a47,2007 Chevrolet Silverado 1500 1LT Extended Cab 4WD,4500,201000,"Jackson, WI",$2231 below market
a48,2021 Jeep Grand Cherokee L Summit Reserve 4WD,47999,32695,"West Allis, WI",$3854 below market
a49,2020 Ford Ranger XL SuperCab 4WD,19580,133189,"Watertown, WI",$2291 below market
a50,2020 Chevrolet Equinox 2.0T LT AWD,21895,40548,"Milwaukee, WI",$2144 below market
a51,2018 Chevrolet Camaro 1LT Coupe RWD,23395,47519,"Milwaukee, WI",$2160 below market
a52,2022 Ford Bronco Outer Banks Advanced 4-Door 4WD,56900,14446,"West Bend, WI",$5246 below market
a53,2020 Ford F-150 XLT SuperCrew 4WD,29789,67136,"Gurnee, IL",$4872 below market
a54,2018 Ford Escape SEL AWD,16899,63169,"Gurnee, IL",$2596 below market
a55,2022 GMC Terrain SLE AWD,27000,7826,"Plymouth, WI",$3568 below market
a56,2022 GMC Terrain SLE AWD,27000,19214,"Plymouth, WI",$2606 below market
a57,2017 Lexus RX 350 F Sport AWD,26995,114408,"Watertown, WI",$679 below market
a58,2021 BMW X1 xDrive28i AWD,29994,46803,"Milwaukee, WI",$1848 below market
a59,2016 Jeep Compass Sport,10426,92988,"Fox Lake, IL",$2131 below market
a60,2019 Chevrolet Silverado 1500 LT Crew Cab 4WD,36522,53958,"Waukesha, WI",$979 below market
a61,2021 Jeep Grand Cherokee Laredo X RWD,27507,35173,"Gurnee, IL",$5382 below market
a62,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350,"Saukville, WI",$2487 below market
a63,2021 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,45993,22359,"Cedarburg, WI",$2748 below market
a64,2022 Chevrolet Express Chassis 3500 Cutaway 177,49900,7621,"Cedarburg, WI",$4248 below market
a65,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,50744,12165,"Cedarburg, WI",$3037 below market
