ID,table_ID,Title,Price,Miles
0,a1,2019 BMW X5 xDrive40i AWD,40977,51852
1,a2,2020 Jeep Gladiator Rubicon Crew Cab 4WD,45989,34678
2,a3,2020 Chrysler Pacifica Touring L FWD,22590,74716
3,a973,2016 Ford F-150 XLT SuperCrew 4WD,23999,91455
4,a1085,2022 Chevrolet Equinox LT FWD with 1LT,25500,11885
5,a975,2022 Ford F-150 XLT SuperCrew 4WD,44995,23202
6,a1072,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652
7,a1077,2017 Jeep Wrangler Unlimited Sport 4WD,28264,29282
8,a978,2007 Chevrolet Silverado 1500 1LT Extended Cab 4WD,4500,201000
9,a979,2021 Jeep Grand Cherokee L Summit Reserve 4WD,47999,32695
10,a1075,2020 Ford Ranger XL SuperCab 4WD,19580,133189
11,a981,2020 Chevrolet Equinox 2.0T LT AWD,21895,40548
12,a982,2018 Chevrolet Camaro 1LT Coupe RWD,23395,47519
13,a983,2022 Ford Bronco Outer Banks Advanced 4-Door 4WD,56900,14446
14,a1106,2020 Ford F-150 XLT SuperCrew 4WD,29789,67136
15,a985,2018 Ford Escape SEL AWD,16899,63169
16,a1111,2022 GMC Terrain SLE AWD,27000,19214
17,a19,2019 Toyota Prius L Eco FWD,23726,40300
18,a496,2019 Lexus ES Hybrid 300h FWD,38000,26176
19,a21,2021 Jeep Grand Cherokee Summit 4WD,46995,15097
20,a399,2019 Kia Rio S FWD,11400,90785
21,a992,2021 Jeep Grand Cherokee Laredo X RWD,27507,35173
22,a1107,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350
23,a1108,2021 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,45993,22359
24,a1109,2022 Chevrolet Express Chassis 3500 Cutaway 177,49900,7621
25,a996,2022 Chevrolet Silverado 1500 RST Crew Cab 4WD,50744,12165
26,a1110,2021 Volkswagen Tiguan SE 4Motion,26713,22075
27,a998,2021 Volkswagen Atlas V6 SE R-Line 4Motion with Technology,35288,42879
28,a999,2022 Volkswagen ID.4 Pro S RWD,34955,3794
29,a1000,2023 Volkswagen Golf R 2.0T 4Motion AWD,50725,1916
30,a1001,2020 Porsche Taycan Turbo AWD,93988,32700
31,a1002,2020 Kia Optima SE FWD,19999,30085
32,a1003,2022 Toyota Camry Hybrid LE FWD,29999,27055
33,a1081,2021 Cadillac XT4 Sport AWD,34999,17477
34,a1005,2021 Honda Accord Hybrid Touring FWD,30500,24401
35,a1006,2016 Nissan Rogue S FWD,9990,101100
36,a38,2021 Ford Explorer Limited AWD,34985,41540
37,a39,2018 Toyota Tundra 1794 Edition CrewMax 5.7L 4WD,39995,59789
38,a40,2022 Chrysler Pacifica Touring L FWD,28997,47928
39,a894,2020 Ford Expedition Limited 4WD,45990,58135
40,a779,2017 Lexus RX 350 F Sport AWD,26995,114408
41,a685,2021 BMW X1 xDrive28i AWD,29397,52256
42,a59,2016 Jeep Compass Sport,10426,92988
43,a60,2019 Chevrolet Silverado 1500 LT Crew Cab 4WD,36522,53958
44,a969,2019 Subaru Outback 2.5i Premium AWD,21300,76088
45,a77,2018 Jeep Grand Cherokee Overland 4WD,31695,36495
46,a78,2017 Jeep Renegade Sport,17394,56821
47,a79,2020 GMC Savana Cargo 3500 Extended RWD,38471,43256
48,a1068,2004 Cadillac XLR RWD,20499,49495
49,a1069,2017 RAM 3500 Laramie Crew Cab LB DRW 4WD,48951,87237
50,a1091,2010 MINI Cooper Base Convertible,5995,94359
51,a1071,2018 Ford Escape S FWD,14995,73707
52,a1073,2021 Honda Passport Elite AWD,37585,13332
53,a1074,2021 BMW X3 xDrive30e AWD,41965,15637
54,a1076,2019 Ford Escape SE AWD,20455,36178
55,a1078,2021 Volkswagen Jetta S FWD,18500,41000
56,a1079,2019 Mercedes-Benz C-Class C 300 4MATIC AWD,28990,27213
57,a1082,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,40999,3723
58,b954,2021 Lexus RX 350 AWD,47000,16527
59,a97,2021 Honda CR-V SE AWD,27897,44743
60,a98,2022 Toyota Corolla Cross LE FWD,27615,33537
61,a114,2019 Ford Flex SEL AWD,27500,62580
62,a115,2019 Jeep Cherokee Latitude FWD,19600,62763
63,a116,2020 Chevrolet Silverado 1500 RST Crew Cab 4WD,44999,29966
64,a306,2020 Ford Edge SEL AWD,22624,54825
