ID,table_ID,Title,Price,Miles
0,b1650,2020 MAZDA CX-5 Sport,22050,24723
1,b1388,2020 Ford Fusion SE,18695,32976
2,b67,2020 Acura TLX,27988,27616
3,b264,2020 Acura RDX AWD,40900,38860
4,b905,2020 Ford Escape Titanium,28968,26751
5,b202,2020 Honda Accord EX-L,27234,41147
6,b121,2021 Ford Mustang Mach-E Premium,39977,19973
7,b391,2019 Cadillac XT5 Luxury,31249,47487
8,b137,2019 Lexus GX 460,40000,46372
9,b1534,2020 Toyota RAV4 XLE,29990,21540
10,b148,2019 Toyota RAV4 XLE,33208,35255
11,b926,2021 Toyota RAV4 XLE,34376,15647
12,b1536,2019 Toyota RAV4 Limited,31990,38836
13,b155,2019 Lexus IS 300 AWD,32500,18443
14,b172,2020 Acura RDX SH-AWD,35493,22939
15,b841,2020 Ford F150 Lariat,44490,31258
16,b1221,2020 Honda CR-V LX,24490,16639
17,b1081,2022 Honda Accord Sport Special Edition,29495,8144
18,b420,2020 Lexus RX 350 AWD,45500,15441
19,b641,2018 Chevrolet Equinox LT,22989,30002
20,b1376,2020 Ford Escape SE,21791,13957
21,b508,2020 Jeep Grand Cherokee Limited,32795,26971
22,b1575,2020 Ford Explorer XLT,30999,16771
23,b221,2021 Jeep Grand Cherokee Limited,36872,20234
24,b224,2023 Subaru Outback Wilderness,38726,5915
25,b231,2017 RAM 1500 Limited,29994,84309
26,b539,2020 Lincoln Corsair Reserve,38995,6882
27,b238,2019 Kia Sorento LX,19370,44886
28,b1697,2020 Honda CR-V EX,26900,20555
29,b256,2020 BMW M4 Convertible,60963,16570
30,b262,2018 Acura RDX AWD,30900,59957
31,b267,2020 Cadillac XT6 Sport,44168,21541
32,b1593,2020 Buick Encore GX Select,20990,23356
33,b281,2020 Hyundai Elantra SEL,18345,19410
34,b899,2019 Chevrolet Equinox LT,22900,17481
35,b323,2017 Honda CR-V LX,22528,60445
36,b985,2019 Chevrolet Equinox Premier,27995,31042
37,b529,2020 Lincoln MKZ Reserve,36995,13898
38,b970,2020 Ford F150 XLT,40981,32214
39,b858,2020 Honda Civic LX,21987,21264
40,b973,2021 Ford F150 Lariat,51388,25453
41,b1677,2020 MAZDA CX-5 Touring,21900,29354
42,b360,2018 Ford Taurus SEL,19807,41973
43,b1319,2020 Nissan Sentra SV,19995,24599
44,b1164,2021 Nissan Sentra SV,19498,18828
45,b765,2020 Nissan Rogue SL,26900,20017
46,b1231,2021 Honda CR-V EX-L,28490,19851
47,b388,2020 Ford Expedition XLT,51988,24092
48,b395,2020 Hyundai Tucson Sport,24976,28367
49,b400,2019 Volkswagen Jetta SE,21975,14447
50,b1673,2023 MAZDA CX-5 AWD 2.5 S,31144,1878
51,b409,2021 Volkswagen Tiguan SE R-Line,31993,13866
52,b424,2021 Lexus GX 460 Premium,53000,20533
53,b1504,2020 Nissan Rogue SV,19998,29997
54,b1377,2019 Toyota RAV4 LE,23991,38728
55,b435,2019 Toyota RAV4 Adventure,35980,23098
56,b927,2020 Toyota Tacoma TRD Sport,37290,37587
57,b931,2020 Toyota Tundra SR5,46199,28417
58,b968,2019 Ford F150 XLT,37458,58034
59,b965,2017 Lexus RX 350 AWD,29995,68395
60,b1093,2019 Ford F150 Lariat,38000,33437
61,b1064,2019 Jeep Wrangler Unlimited Rubicon,45996,17577
62,b1182,2022 Ford F150 XLT,43991,11501
63,b1454,2020 Honda Civic Si,26900,30782
64,b485,2020 Toyota C-HR XLE,25195,17937
65,b1637,2020 Chevrolet Silverado 1500 RST,38995,24522
66,b991,2019 Chevrolet Silverado 1500 LT Trail Boss,42995,48283
67,b1243,2022 Chevrolet Silverado 1500 LT,47490,5260
68,b1188,2020 GMC Terrain SLE,22490,18380
69,b511,2019 Jeep Compass Limited,22916,47639
70,b1369,2019 Jeep Cherokee Limited,21498,30910
71,b548,2020 Kia Sportage EX,23996,19534
72,b552,2022 Kia Seltos SX,28503,5772
73,b556,2021 Subaru Crosstrek 2.0i Premium,28995,13930
74,b1020,2020 Toyota RAV4 Limited,35200,26231
75,b1574,2020 Ford Ranger XLT,29991,19813
76,b591,2020 Lexus GS 350 F Sport,44294,18305
77,b601,2023 Hyundai Tucson SEL,27900,4357
78,b1126,2019 Lexus ES 350,32190,33300
79,b613,2020 Acura MDX SH-AWD,37900,19156
80,b616,2019 Mercedes-Benz C 300 4MATIC Sedan,33500,20240
81,b1285,2020 BMW 330i xDrive Sedan,31395,20411
82,b625,2022 Alfa Romeo Giulia Ti,42995,3505
83,b1627,2020 Chevrolet Blazer LT,28995,13541
84,b639,2023 Chevrolet Equinox LT,30150,278
85,b1341,2020 Buick Envision Premium,29590,16265
86,b643,2019 Chevrolet Blazer LT,29999,26412
87,b747,2020 Jeep Compass Latitude,22588,31961
88,b653,2020 Kia Soul X-Line,19995,16652
89,b1037,2021 Nissan Rogue S,23993,12053
90,b963,2021 Nissan Rogue SV,24612,42193
91,b1121,2021 Jeep Cherokee Latitude Lux,26127,17656
92,b669,2021 Subaru Crosstrek 2.5i Limited,31999,5268
93,b670,2021 Nissan Rogue SL,33499,10619
94,b683,2018 Toyota Highlander SE,32000,45398
95,b1546,2019 Toyota Corolla XSE,21855,49294
96,b1255,2020 Hyundai Santa Fe SEL,23299,21662
97,b705,2023 Toyota Camry SE,30995,12
98,b712,2022 Toyota Sienna XLE,42995,27338
99,b1313,2020 Chevrolet Equinox Premier,23490,27430
100,b802,2020 Ford Edge SEL,27500,12616
101,b1550,2020 Toyota RAV4 LE,23599,42159
102,b748,2021 Nissan Rogue Sport SV,24277,16797
103,b781,2020 Jeep Cherokee Limited,25911,25940
104,b1252,2020 Hyundai Sonata SEL,20899,24061
105,b764,2020 Hyundai Kona Ultimate,25400,18033
106,b769,2022 Hyundai Santa Fe AWD,29800,8441
107,b773,2017 GMC Acadia Denali,23453,79028
108,b889,2019 Lexus RX 350 AWD,40000,28011
109,b1197,2017 Jeep Wrangler Unlimited Sport,26998,53291
110,b1682,2021 Honda Civic Sport,23490,19715
111,b1666,2020 MAZDA CX-5 Grand Touring,25464,16444
112,b803,2019 Toyota Highlander XLE,31000,42268
113,b811,2019 Ford Escape Titanium,23534,41147
114,b1090,2020 Chevrolet Equinox LT,20500,25766
115,b830,2021 Jeep Compass Limited,23634,61464
116,b838,2019 Ford F350 King Ranch,68295,56559
117,b855,2023 Hyundai Sonata SEL,28876,7759
118,b1004,2023 Hyundai Santa Fe SEL,31898,1766
119,b863,2021 Ford Escape SEL,22490,19227
120,b865,2020 Nissan Rogue S,22682,8941
121,b874,2021 Volkswagen Passat 2.0T SE,27492,9855
122,b887,2020 Lexus NX 300 AWD,36000,39910
123,b890,2019 Ford Mustang GT Premium,44000,12469
124,b892,2020 Lexus GX 460 Premium,46500,37043
