ID,ltable_ID,rtable_ID,ltable_Title,ltable_Price,ltable_Miles,rtable_Title,rtable_Price,rtable_Miles
0,a394,b1242,2023 Hyundai Santa Cruz SEL,32990,1226,2023 Hyundai Santa Cruz SEL,32990,1226
1,a848,b1650,2020 MAZDA CX-5 Sport,21990,29700,2020 MAZDA CX-5 Sport,22050,24723
2,a1706,b1668,2021 MAZDA CX-30 FWD 2.5 S,21900,13793,2021 MAZDA CX-30 FWD 2.5 S,26732,15943
3,a536,b1534,2020 Toyota RAV4 XLE,27199,29460,2020 Toyota RAV4 XLE,29990,21540
4,a375,b1231,2021 Honda CR-V EX-L,28490,19851,2021 Honda CR-V EX-L,28490,19851
5,a627,b1575,2020 Ford Explorer XLT,28994,32226,2020 Ford Explorer XLT,30999,16771
6,a1215,b1675,2019 Honda Civic LX,19490,21674,2019 Honda Civic LX,19900,39151
7,a1203,b1221,2020 Honda CR-V LX,24490,16639,2020 Honda CR-V LX,24490,16639
8,a1326,b1126,2019 Lexus ES 350,32190,33300,2019 Lexus ES 350,32190,33300
9,a406,b1134,2021 Lexus IS 350 F Sport,40401,15048,2021 Lexus IS 350 F Sport,40401,15048
10,a816,b1697,2020 Honda CR-V EX,26900,9160,2020 Honda CR-V EX,26900,20555
11,a267,b420,2020 Lexus RX 350 AWD,42949,24874,2020 Lexus RX 350 AWD,45500,15441
12,a623,b1426,2020 Honda Accord LX,22900,24235,2020 Honda Accord LX,23352,23987
13,a1243,b1223,2021 Honda Civic EX,24900,2260,2021 Honda Civic EX,24900,2260
14,a948,b1149,2020 Jeep Compass Limited,21195,36070,2020 Jeep Compass Limited,21195,36070
15,a1233,b1319,2020 Nissan Sentra SV,19995,24599,2020 Nissan Sentra SV,19995,24599
16,a718,b1164,2021 Nissan Sentra SV,19498,18828,2021 Nissan Sentra SV,19498,18828
17,a1482,b1660,2021 Toyota C-HR LE,23899,11379,2021 Toyota C-HR LE,24133,12332
18,a380,b1685,2020 Honda Accord Sport,24490,29535,2020 Honda Accord Sport,24900,13605
19,a1791,b1550,2020 Toyota RAV4 LE,24199,27488,2020 Toyota RAV4 LE,23599,42159
20,a1419,b1677,2020 MAZDA CX-5 Touring,23007,29949,2020 MAZDA CX-5 Touring,21900,29354
21,a483,b1279,2020 Subaru WRX Limited,30935,20244,2020 Subaru WRX Limited,30935,20244
22,a529,b1182,2022 Ford F150 XLT,43991,11501,2022 Ford F150 XLT,43991,11501
23,a523,b1255,2020 Hyundai Santa Fe SEL,23299,21662,2020 Hyundai Santa Fe SEL,23299,21662
24,a1941,b1188,2020 GMC Terrain SLE,22490,18380,2020 GMC Terrain SLE,22490,18380
25,a1377,b1700,2021 Honda CR-V EX,28490,3395,2021 Honda CR-V EX,27290,11600
26,a1720,b1666,2020 MAZDA CX-5 Grand Touring,24900,15211,2020 MAZDA CX-5 Grand Touring,25464,16444
27,a1570,b1283,2020 Volkswagen Tiguan SE R-Line,25899,16755,2020 Volkswagen Tiguan SE R-Line,25899,16755
28,a481,b1243,2022 Chevrolet Silverado 1500 LT,47490,5260,2022 Chevrolet Silverado 1500 LT,47490,5260
29,a890,b1124,2020 Toyota Camry XSE,30267,22452,2020 Toyota Camry XSE,30267,22452
30,a886,b1176,2021 Toyota RAV4 LE,27399,10804,2021 Toyota RAV4 LE,27399,10804
31,a1497,b1688,2022 Honda Civic Sport,26993,13373,2022 Honda Civic Sport,25900,11425
32,a688,b1252,2020 Hyundai Sonata SEL,20899,24061,2020 Hyundai Sonata SEL,20899,24061
33,a1425,b1317,2020 Chevrolet Traverse LT,28490,20339,2020 Chevrolet Traverse LT,28490,20339
34,a1026,b1285,2020 BMW 330i xDrive Sedan,31395,20411,2020 BMW 330i xDrive Sedan,31395,20411
35,a625,b1413,2020 Audi SQ5 Premium Plus,44056,13054,2020 Audi SQ5 Premium Plus,42585,25623
36,a815,b1313,2020 Chevrolet Equinox Premier,23490,27430,2020 Chevrolet Equinox Premier,23490,27430
37,a1178,b1375,2020 Toyota Corolla SE,20900,29366,2020 Toyota Corolla SE,21591,26905
38,a571,b1669,2021 MAZDA CX-30 AWD 2.5 S,22900,13835,2021 MAZDA CX-30 AWD 2.5 S,26768,16545
39,a1793,b1197,2017 Jeep Wrangler Unlimited Sport,26998,53291,2017 Jeep Wrangler Unlimited Sport,26998,53291
40,a867,b1696,2021 Honda Accord Sport,26490,16787,2021 Honda Accord Sport,26900,17809
41,a462,b1548,2020 Honda Civic Sport,22900,28420,2020 Honda Civic Sport,21999,35825
42,a1339,b1155,2020 Honda Odyssey EX-L,33291,24898,2020 Honda Odyssey EX-L,33291,24898
43,a805,b1699,2020 Honda CR-V EX-L,27900,26985,2020 Honda CR-V EX-L,27190,17754
44,a1218,b1292,2019 Chevrolet Silverado 1500 LTZ,40985,23592,2019 Chevrolet Silverado 1500 LTZ,40985,23592
45,a713,b1458,2021 Volkswagen Atlas SE,32159,18784,2021 Volkswagen Atlas SE,34017,29240
46,a699,b1129,2021 Cadillac CT4 Premium Luxury,32850,12112,2021 Cadillac CT4 Premium Luxury,32850,12112
47,a389,b1281,2020 Toyota Camry LE,21535,17175,2020 Toyota Camry LE,21535,17175
48,a1103,b954,2021 Lexus RX 350 AWD,44679,23671,2021 Lexus RX 350 AWD,47000,16527
49,a1219,b1296,2022 Chevrolet Silverado 1500 LTZ,48988,5784,2022 Chevrolet Silverado 1500 LTZ,48988,5784
50,a1601,b1299,2022 Chevrolet Silverado 1500 RST,53895,5584,2022 Chevrolet Silverado 1500 RST,53895,5584
51,a1816,b1608,2020 BMW 330i Sedan,28996,22340,2020 BMW 330i Sedan,29498,20339
52,a1632,b1253,2020 Hyundai Santa Fe SE,20999,23725,2020 Hyundai Santa Fe SE,20999,23725
53,a1690,b1273,2021 Cadillac XT5 Luxury,31996,9715,2021 Cadillac XT5 Luxury,31996,9715
54,a1149,b1145,2020 BMW X4 M,61190,28045,2020 BMW X4 M,61190,28045
55,a913,b1233,2021 Audi Q3 2.0T Premium,30900,11041,2021 Audi Q3 2.0T Premium,30900,11041
56,a638,b1287,2022 Chevrolet Silverado 1500 Custom,35780,4843,2022 Chevrolet Silverado 1500 Custom,35780,4843
57,a1594,b1576,2021 Chevrolet Silverado 1500 Custom,33800,8676,2021 Chevrolet Silverado 1500 Custom,31399,22245
58,a495,b1485,2021 MINI Cooper S,24849,11758,2021 MINI Cooper S,32871,10726
59,a1975,b1153,2020 BMW X2 sDrive28i,29491,18657,2020 BMW X2 sDrive28i,29491,18657
60,a338,b1127,2021 BMW X2 sDrive28i,32394,17934,2021 BMW X2 sDrive28i,32394,17934
61,a394,b1289,2019 Audi e-tron Premium Plus,37889,20877,2019 Audi e-tron Premium Plus,37889,20877
62,a978,b1135,2020 Lexus RC 300 F Sport,40553,15854,2020 Lexus RC 300 F Sport,40553,15854
63,a1201,b1136,2023 Chevrolet Silverado 1500 Custom,42749,6810,2023 Chevrolet Silverado 1500 Custom,42749,6810
64,a1157,b1137,2022 Volvo XC60 B5 Inscription,42943,5033,2022 Volvo XC60 B5 Inscription,42943,5033
65,a577,b1138,2022 Lexus NX 350 F Sport,44594,5419,2022 Lexus NX 350 F Sport,44594,5419
66,a2000,b1139,2020 Audi SQ5 Prestige,45621,21143,2020 Audi SQ5 Prestige,45621,21143
67,a1402,b1140,2018 Porsche Macan GTS,51084,32844,2018 Porsche Macan GTS,51084,32844
